DATE,Price
01-01-2000,10.897
01-02-2000,10.405
01-03-2000,10.756
01-04-2000,10.364
01-05-2000,10.827
01-06-2000,11.059
01-07-2000,11.354
01-08-2000,11.505
01-09-2000,11.54
01-10-2000,11.6
01-11-2000,11.348
01-12-2000,10.884
01-01-2001,10.424
01-02-2001,10.078
01-03-2001,10.333
01-04-2001,10.125
01-05-2001,9.762
01-06-2001,9.501
01-07-2001,9.363
01-08-2001,9.114
01-09-2001,9.122
01-10-2001,8.8
01-11-2001,7.88
01-12-2001,7.939
01-01-2002,7.669
01-02-2002,7.627
01-03-2002,7.359
01-04-2002,7.41
01-05-2002,7.723
01-06-2002,7.485
01-07-2002,7.308
01-08-2002,7.161
01-09-2002,7.168
01-10-2002,6.925
01-11-2002,6.425
01-12-2002,6.083
01-01-2003,6.323
01-02-2003,5.966
01-03-2003,6.127
01-04-2003,5.882
01-05-2003,5.797
01-06-2003,5.728
01-07-2003,5.616
01-08-2003,5.264
01-09-2003,5.174
01-10-2003,5.1
01-11-2003,5.158
01-12-2003,5.122
01-01-2004,5.223
01-02-2004,5.261
01-03-2004,5.147
01-04-2004,5.117
01-05-2004,5.274
01-06-2004,5.85
01-07-2004,6.137
01-08-2004,6.089
01-09-2004,6.244
01-10-2004,6.932
01-11-2004,7.197
01-12-2004,6.706
01-01-2005,6.703
01-02-2005,6.549
01-03-2005,6.676
01-04-2005,7.357
01-05-2005,6.979
01-06-2005,6.907
01-07-2005,6.994
01-08-2005,7.094
01-09-2005,7.101
01-10-2005,7.099
01-11-2005,7.083
01-12-2005,7.11
01-01-2006,7.372
01-02-2006,7.393
01-03-2006,7.55
01-04-2006,7.39
01-05-2006,7.659
01-06-2006,8.151
01-07-2006,8.238
01-08-2006,7.891
01-09-2006,7.642
01-10-2006,7.625
01-11-2006,7.424
01-12-2006,7.619
01-01-2007,7.738
01-02-2007,8
01-03-2007,8.022
01-04-2007,8.173
01-05-2007,8.08
01-06-2007,8.187
01-07-2007,7.845
01-08-2007,7.93
01-09-2007,7.925
01-10-2007,7.839
01-11-2007,7.905
01-12-2007,7.791
01-01-2008,7.529
01-02-2008,7.568
01-03-2008,7.938
01-04-2008,7.956
01-05-2008,8.101
01-06-2008,8.713
01-07-2008,9.316
01-08-2008,8.7
01-09-2008,8.617
01-10-2008,7.478
01-11-2008,7.08
01-12-2008,5.26
01-01-2009,6.187
01-02-2009,6.328
01-03-2009,7.014
01-04-2009,6.242
01-05-2009,6.71
01-06-2009,7.013
01-07-2009,6.998
01-08-2009,7.434
01-09-2009,7.215
01-10-2009,7.306
01-11-2009,7.257
01-12-2009,7.679
01-01-2010,7.591
01-02-2010,7.864
01-03-2010,7.85
01-04-2010,8.061
01-05-2010,7.564
01-06-2010,7.561
01-07-2010,7.803
01-08-2010,7.936
01-09-2010,7.852
01-10-2010,8.121
01-11-2010,8.066
01-12-2010,7.913
01-01-2011,8.148
01-02-2011,7.992
01-03-2011,7.985
01-04-2011,8.135
01-05-2011,8.411
01-06-2011,8.326
01-07-2011,8.454
01-08-2011,8.319
01-09-2011,8.442
01-10-2011,8.879
01-11-2011,8.738
01-12-2011,8.56
01-01-2012,8.267
01-02-2012,8.199
01-03-2012,8.572
01-04-2012,8.671
01-05-2012,8.377
01-06-2012,8.38
01-07-2012,8.245
01-08-2012,8.241
01-09-2012,8.149
01-10-2012,8.215
01-11-2012,8.175
01-12-2012,8.049
01-01-2013,7.912
01-02-2013,7.872
01-03-2013,7.951
01-04-2013,7.731
01-05-2013,7.443
01-06-2013,7.439
01-07-2013,8.172
01-08-2013,8.596
01-09-2013,8.766
01-10-2013,8.625
01-11-2013,9.044
01-12-2013,8.82
01-01-2014,8.77
01-02-2014,8.862
01-03-2014,8.804
01-04-2014,8.828
01-05-2014,8.645
01-06-2014,8.744
01-07-2014,8.718
01-08-2014,8.559
01-09-2014,8.511
01-10-2014,8.278
01-11-2014,8.087
01-12-2014,7.855
01-01-2015,7.691
01-02-2015,7.724
01-03-2015,7.738
01-04-2015,7.86
01-05-2015,7.815
01-06-2015,7.861
01-07-2015,7.806
01-08-2015,7.784
01-09-2015,7.539
01-10-2015,7.64
01-11-2015,7.786
01-12-2015,7.758
01-01-2016,7.779
01-02-2016,7.623
01-03-2016,7.459
01-04-2016,7.435
01-05-2016,7.471
01-06-2016,7.448
01-07-2016,7.163
01-08-2016,7.11
01-09-2016,6.958
01-10-2016,6.885
01-11-2016,6.243
01-12-2016,6.512
01-01-2017,6.407
01-02-2017,6.87
01-03-2017,6.658
01-04-2017,6.961
01-05-2017,6.661
01-06-2017,6.511
01-07-2017,6.465
01-08-2017,6.525
01-09-2017,6.663
01-10-2017,6.862
01-11-2017,7.058
01-12-2017,7.326
01-01-2018,7.43
01-02-2018,7.726
01-03-2018,7.398
01-04-2018,7.767
01-05-2018,7.826
01-06-2018,7.903
01-07-2018,7.772
01-08-2018,7.951
01-09-2018,8.024
01-10-2018,7.853
01-11-2018,7.607
01-12-2018,7.37
