DATE,WPI 
01-01-2000,54.59
01-02-2000,54.56
01-03-2000,54.9
01-04-2000,55.04
01-05-2000,55.01
01-06-2000,55.14
01-07-2000,55.5
01-08-2000,55.73
01-09-2000,56.08
01-10-2000,56.3
01-11-2000,56.52
01-12-2000,57
01-01-2001,57.05
01-02-2001,56.86
01-03-2001,57.1
01-04-2001,57.11
01-05-2001,57.08
01-06-2001,57.04
01-07-2001,57.39
01-08-2001,57.27
01-09-2001,57.15
01-10-2001,57.21
01-11-2001,57.17
01-12-2001,57.12
01-01-2002,57.12
01-02-2002,57
01-03-2002,57.08
01-04-2002,57.38
01-05-2002,57.64
01-06-2002,58.14
01-07-2002,58.25
01-08-2002,58.8
01-09-2002,58.84
01-10-2002,58.8
01-11-2002,58.81
01-12-2002,58.85
01-01-2003,59.11
01-02-2003,59.53
01-03-2003,59.81
01-04-2003,60.46
01-05-2003,61.12
01-06-2003,60.91
01-07-2003,61.02
01-08-2003,61.42
01-09-2003,61.83
01-10-2003,61.93
01-11-2003,62.25
01-12-2003,62.41
01-01-2004,62.99
01-02-2004,63.6
01-03-2004,63.78
01-04-2004,64.01
01-05-2004,64.18
01-06-2004,65.17
01-07-2004,65.69
01-08-2004,66.07
01-09-2004,66.43
01-10-2004,66.29
01-11-2004,66.26
01-12-2004,66.28
01-01-2005,66.43
01-02-2005,66.53
01-03-2005,66.94
01-04-2005,67.51
01-05-2005,67.25
01-06-2005,66.98
01-07-2005,66.85
01-08-2005,66.85
01-09-2005,66.92
01-10-2005,66.85
01-11-2005,66.92
01-12-2005,66.79
01-01-2006,67.11
01-02-2006,67.44
01-03-2006,67.71
01-04-2006,69.28
01-05-2006,69.61
01-06-2006,69.94
01-07-2006,70.33
01-08-2006,70.72
01-09-2006,70.99
01-10-2006,71.18
01-11-2006,71.18
01-12-2006,71.31
01-01-2007,71.71
01-02-2007,71.84
01-03-2007,72.1
01-04-2007,73.15
01-05-2007,73.22
01-06-2007,73.41
01-07-2007,73.54
01-08-2007,73.61
01-09-2007,73.68
01-10-2007,74
01-11-2007,74.13
01-12-2007,74.33
01-01-2008,75.51
01-02-2008,76.1
01-03-2008,77.28
01-04-2008,78.2
01-05-2008,78.2
01-06-2008,79.19
01-07-2008,79.65
01-08-2008,79.91
01-09-2008,79.91
01-10-2008,79.78
01-11-2008,78.86
01-12-2008,78.27
01-01-2009,78.6
01-02-2009,78.53
01-03-2009,78.6
01-04-2009,78.86
01-05-2009,79.25
01-06-2009,79.38
01-07-2009,79.45
01-08-2009,80.04
01-09-2009,80.43
01-10-2009,80.63
01-11-2009,81.09
01-12-2009,81.48
01-01-2010,82.6
01-02-2010,82.73
01-03-2010,82.79
01-04-2010,83.91
01-05-2010,83.91
01-06-2010,83.84
01-07-2010,84.04
01-08-2010,84.17
01-09-2010,84.43
01-10-2010,84.76
01-11-2010,85.16
01-12-2010,85.88
01-01-2011,86.99
01-02-2011,87.91
01-03-2011,88.96
01-04-2011,89.62
01-05-2011,90.14
01-06-2011,90.47
01-07-2011,90.54
01-08-2011,90.8
01-09-2011,91.19
01-10-2011,91.59
01-11-2011,92.11
01-12-2011,92.44
01-01-2012,92.83
01-02-2012,93.03
01-03-2012,93.55
01-04-2012,94.34
01-05-2012,94.98
01-06-2012,95.16
01-07-2012,95.62
01-08-2012,95.98
01-09-2012,96.53
01-10-2012,96.71
01-11-2012,96.26
01-12-2012,95.98
01-01-2013,96.44
01-02-2013,96.44
01-03-2013,96.8
01-04-2013,97.08
01-05-2013,96.98
01-06-2013,97.35
01-07-2013,97.9
01-08-2013,98.53
01-09-2013,99.45
01-10-2013,99.54
01-11-2013,99.26
01-12-2013,99.35
01-01-2014,99.81
01-02-2014,100.17
01-03-2014,100.9
01-04-2014,101.18
01-05-2014,101.45
01-06-2014,101.63
01-07-2014,101.91
01-08-2014,102.36
01-09-2014,102.27
01-10-2014,102.18
01-11-2014,101.45
01-12-2014,100.72
01-01-2015,100.81
01-02-2015,100.36
01-03-2015,100.27
01-04-2015,100.36
01-05-2015,100.72
01-06-2015,100.54
01-07-2015,100.17
01-08-2015,99.54
01-09-2015,99.54
01-10-2015,99.72
01-11-2015,99.17
01-12-2015,98.81
01-01-2016,98.44
01-02-2016,98.72
01-03-2016,99.17
01-04-2016,99.54
01-05-2016,100.08
01-06-2016,100.27
01-07-2016,100.54
01-08-2016,100.45
01-09-2016,100.63
01-10-2016,101
01-11-2016,101.18
01-12-2016,101.27
01-01-2017,101.72
01-02-2017,101.91
01-03-2017,102.36
01-04-2017,102.64
01-05-2017,102.64
01-06-2017,102.64
01-07-2017,102.64
01-08-2017,102.82
01-09-2017,103.64
01-10-2017,103.64
01-11-2017,103.91
01-12-2017,104.09
01-01-2018,104.73
01-02-2018,105.28
01-03-2018,105.55
01-04-2018,106.01
01-05-2018,106.56
01-06-2018,106.92
01-07-2018,107.28
01-08-2018,107.38
01-09-2018,107.92
01-10-2018,108.38
01-11-2018,108.29
01-12-2018,107.83
